字元	出現次數	能否當開頭	人名範例
爾	924	True	艾萊爾　塞西爾　伊斯雷爾　馬爾文　達爾文　庫爾特
斯	806	True	赫斯特　伊斯雷爾　伊斯頓　斯哈隆達　河戴斯　克勞迪烏斯
拉	491	True	威拉登內　德拉基克　英格拉姆　德里拉　杰拉爾丁　賽薇亞拉
德	481	True	德拉基克　德里拉　德龍　德弗納　厄哈德　奧哈德
特	474	True	赫斯特　羅伯特　庫爾特　奧利特哈　塔瓦娜‧史考特　坦皮斯特
克	410	True	尼克基　德拉基克　克爾比　克勞迪烏斯　莫妮克　克西亞
里	317	True	特里普　法里斯　瓦里克　克里斯　瓦洛里　德里拉
亞	299	True	維維亞娜　堪比亞　海斯第亞　索拉亞　內地亞　諾亞
伊	294	True	伊斯雷爾　伊斯頓　伊菲格　克伊斯鄧　伊澤哈爾　伊索爾達
尼	291	True	本尼　夏麥尼　尼克基　曼尼　珍尼那　金尼
利	271	True	奧利特哈　奧利　普海利斯　貝弗利　狄利斯　烏利西亞
艾	236	True	艾萊爾　艾德蒙　艾達　艾格尼思　艾淇伯德　艾蒙
奧	219	True	奧吉爾欣恩　夫烈奧溫內　奧拉貝爾　奧默羅德　奧托林內　奧利特哈
達	211	True	斯哈隆達　阿爾達　艾達　達爾文　埃斯梅拉達　伊索爾達
納	205	True	熱納瓦　蓋弗納　庫許納　佐恩納斯　扎萬納斯　考納
維	204	True	維斯康特　維維亞娜　努維阿　黛維斯　諾維茨基　維翠阿
西	200	True	塞西爾　狄西斯　西塞莉　黛西　格雷西　帕西
塔	180	True	黛麗塔　錢塔爾　塔瓦娜‧史考特　貝內塔　黛維塔　東尼史塔克
卡	175	True	卡森　卡澤　扎克卡雷　卡希拉　卡里斯薩　卡米爾
萊	173	True	艾萊爾　萊得福德　布萊克　塞萊斯廷　格萊蒂婭　瓦萊里婭
迪	172	True	巴迪　因迪　克勞迪烏斯　迪里安　珀迪塔　因迪亞
娜	170	True	狄安娜　維維亞娜　烏娜　蜜爾娜　弗洛倫蒂娜　塔瓦娜‧史考特
安	170	True	狄安娜　費比安　費安拉　迪里安　喬安妮　安密蒂
格	167	True	格特魯德　英格拉姆　伊菲格　格雷西　蘭格　格羅拉
羅	166	True	羅伯特　杰思羅　奧默羅德　格羅拉　羅莎　斯羅斯
布	164	True	雅各布　布萊克　布蘭那　布蘭達　薩布麗娜　加布
雷	151	True	伊斯雷爾　杰雷爾丁　格雷西　威爾弗雷達　格雷森　伊斯雷拉
麗	140	True	黛麗塔　克麗絲汀娜　薩布麗娜　特麗斯　奧黛麗　阿瑪麗絲
阿	138	True	阿爾達　阿黛爾　努維阿　維翠阿　阿隆索　阿方斯
內	137	True	耶爾曼內　夫烈奧溫內　威拉登內　弗倫內　內泰　奧托林內
米	134	True	基米　米拉　米斯蒂　拉米瑞茲　米奇　卡米爾
弗	133	True	蓋弗納　珍妮弗　弗倫內　馬弗爾　弗洛倫蒂娜　威爾弗雷達
恩	130	True	奧吉爾欣恩　佐恩納斯　查恩斯　萊恩　柯恩麗　基肖恩
哈	127	True	斯哈隆達　伊澤哈爾　奧利特哈　利特哈　厄哈德　奧哈德
蒂	124	True	貝蒂　史蒂夫　弗洛倫蒂娜　格萊蒂婭　米斯蒂　安密蒂
蘭	123	True	蘭德斯　賴蘭　蘭博　蘭格　奧蘭德　布蘭那
倫	112	True	弗倫內　弗洛倫蒂娜　許倫　芙洛倫薩　威爾倫內　蓋倫
埃	111	True	埃斯梅拉達　萊埃娜　埃爾米拉　勞埃德　埃伊迪　福爾加埃爾
妮	109	True	珍妮弗　洛瑞妮　絲黛芬妮　妮可基嫚　喬安妮　莫妮克
凱	107	True	凱爾德　凱蒂達　凱茜亞　凱特　凱登　凱洛士
多	106	True	多弗　多納爾　阿曼多　多科斯　多爾夫　文多林
瑪	104	True	阿瑪麗絲　瑪達　阿蒂瑪斯　安娜瑪麗　瑪羅　艾爾瑪
貝	103	True	貝蒂　奧拉貝爾　貝琳德　泰貝莎　貝弗利　貝內塔
瑞	100	True	烏瑞　洛瑞妮　派瑞　洛瑞樂　派瑞格瑞　拉米瑞茲
莉	100	True	莉莉　西塞莉　莉斯　綺莉　艾什莉　莉拉
林	94	True	奧托林內　林尼特特　斯普林　文多林　凡德林　弗羅林
普	94	True	特里普　普海利斯　斯普林　普羅維登西　普萊曾特　溫思羅普
絲	93	True	布麗絲　絲黛芬妮　愛莉絲　奧古絲汀娜　翠絲達　碧昂絲
巴	92	True	巴迪　巴爾巴里　巴爾薩巴斯　巴拉克　珍妮巴斯 　俄巴底亞
頓	91	False	伊斯頓　昆頓　斯坦頓　金斯頓　威靈頓　卡爾頓
洛	89	True	洛瑞妮　瓦洛里　弗洛倫蒂娜　夏洛克　洛瑞樂　芙洛倫薩
馬	88	True	馬爾文　馬戈　馬弗爾　齊馬赫　馬利奧　馬爾科姆
薩	87	True	薩布麗娜　巴爾薩巴斯　拉拉薩　揚內斯薩　芙洛倫薩　瓦薩
夫	86	True	夫烈奧溫內　史蒂夫　夫禮生德霍里克　喬夫萬納　霍夫曼　瑟洛夫哈德
姆	86	False	英格拉姆　霍芬赫姆　馬爾科姆　艾德姆　維拉姆　伯特拉姆
比	84	True	比夫　巴比　巴納比　比利　德比　費比安
諾	84	True	諾維茨基　諾亞　諾曼　諾蘭　奧達諾丹　萬諾拉
杰	81	True	杰羅姆　杰德　杰思羅　杰雷爾丁　吉杰特　梅杰
扎	80	True	扎克克　扎萬納斯　扎克赫里　瓦杰扎特哈　扎克卡里　扎維阿
文	79	True	馬爾文　默文　司徒文　埃爾文　達爾文　文森
瓦	78	True	熱納瓦　艾維瓦　瓦里克　戴爾瓦　瓦洛里　瓦林
基	77	True	基拉爾　尼克基　德拉基克　基米　基拉　妮基
科	76	True	科里　科特　科瑞達　多科特　尼克科爾　科塞特
伯	73	True	希伯　羅伯特　韋伯　羅伯塔　伯恩　伯利
琳	73	True	愛德琳　克琳　琳達　貝琳德　埃琳娜　托琳
泰	73	True	泰里　泰勒　泰姆　費利西泰　泰力　泰麗莎
吉	72	True	吉茲　吉爾拉　吉娃　喬爾吉　休吉特　奧吉爾欣恩
費	71	True	費比安　費利西泰　費安拉　費羅　費利納　費希爾
曼	70	True	艾曼紐麗娃　耶爾曼內　曼尼　阿曼達　惠特曼　凱爾曼
莎	61	True	莉莎　娜塔莎　伊莉莎白　泰麗莎　吉莎　黛莎
菲	60	True	菲茨西蒙斯　加菲爾德　菲爾丁　伊菲格　因菲尼泰　韋克菲爾德
勒	59	True	泰勒　米勒　艾德勒　富勒　瑪勒瑞　何庫勒斯
森	59	True	森妮　文森　班森　皮爾森　卡森　湯森
威	59	True	威拉登內　威廉斯　威爾巴　麥斯威爾　安迪‧威廉斯　威爾弗雷達
希	58	True	希伯　南希　希爾頓　魯特希　斯希斯哈克　希戴爾戈
烏	58	True	烏瑞　烏娜　克勞迪烏斯　烏姆博特　烏簡娜　烏達萊
帕	56	True	帕卡德　帕齊　帕西　帕伊丁　阿格里帕　帕森
梅	56	True	梅林達　埃斯梅拉達　梅里薩　梅杰　希梅內斯　梅里爾
托	55	True	埃內斯托　奧托林內　安托萬　托比　托尼　赫克托
塞	55	True	塞西爾　西塞莉　多塞　塞萊斯廷　塞萊斯逖　科塞特
溫	54	True	鮑德溫　夫烈奧溫內　奧斯溫　烏爾德溫納　考溫　溫迪
澤	53	True	伊澤哈爾　伊澤貝爾　澤德　澤弗海拉　夫洛斯澤　埃斯澤
立	52	False	伊立亞斯　由立克　米凱立　歐狄立　凱立斯特　海立亞
赫	52	True	赫斯特　法拉赫　霍芬赫姆　斯赫爾利　伊拉赫　尼赫邁亞
沃	50	True	沃力斯　普里米蒂沃　埃德沃德　沃瑞麗亞　山姆沃辛頓　沃伊蒙
韋	49	True	韋伯　韋克菲爾德　韋恩　韋爾頓　韋斯利斯　奧斯韋爾德
登	48	True	威拉登內　霍爾登　哈登　布露登斯　帕伊登　戈登
魯	47	True	格特魯德　魯特希　魯斯泰　魯布　魯本　澤魯斯
莫	45	True	開莫　埃爾莫　克莫　莫妮克　伊莫　莫迪凱
波	43	True	波特　波其　波莉　波亞　波許　波維伊
奇	42	True	布麗奇特　阿奇　奇克　特拉奇　法奇南　載奇
蓋	41	True	蓋坦　蓋弗納　蓋頓　蓋力　佛蓋爾　于爾蓋爾
佩	41	True	佩特日納　佩爾林　佩爾利　佩姬　派佩　龐佩
黛	40	True	阿黛爾　黛麗塔　絲黛芬妮　黛西　黛爾得　黛維斯
加	40	True	加菲爾德　加斯頓　布歐瑞加德　加布比　加布　加文
丹	40	True	艾丹恩　杰拉爾丹尼　麥丹　云丹斯　丹尼爾　莉娜丹恩
蒙	40	True	蒙哥馬利　菲茨西蒙斯　艾德蒙　哈爾蒙尼　弗里蒙　哈蒙
丁	40	True	菲爾丁　福雷斯丁　杰雷爾丁　彼得丁克萊傑　帕伊丁　普雷斯丁
那	39	True	凱倫那　珍尼那　伊蘭那　李那　布蘭那　李安那
海	39	True	海斯第亞　澤弗海拉　普海利斯　海立亞　海伍德　海林
歐	38	True	歐仁妮　布歐瑞加德　蒂歐　歐狄立　歐塞拉　艾皮凡尼歐
瑟	37	True	郝瑟　強瑟拉　海瑟　瑟吉厄斯　瑟洛　瑟曼
戴	36	True	戴沙　戴夫　河戴斯　戴爾瓦　戴瓦克　戴瓦
法	34	True	法蘭克　法比奧拉　法拉赫　法里斯　法奇南　法蒂馬斯
力	33	True	沃力斯　由力　艾克力　蓋力　泰力　克力恩
福	33	True	羅斯福　奧克斯福德　萊得福德　福克納　斯坦福　福雷斯丁
霍	33	True	霍巴特　霍爾利　霍芬赫姆　夫禮生德霍里克　霍爾登　霍根
尤	32	True	尤拉　尤妮蒂　比尤萊　尤倫達　尤德爾　尤蘭達
喬	32	True	喬恩　喬爾吉　喬治娜　喬伊　喬安妮　喬治
沙	31	True	戴沙　羅沙內　季沙　萊沙　培沙德畢塞沙　沙賴恩
茲	31	False	吉茲　查維茲　格來茲　雷諾茲　奧茲尼　比爾蓋茲
查	31	True	查維茲　查理　查恩斯　查娃　唐查德斯　查瑞斯
勞	30	True	勞里　尼古勞斯　克勞迪烏斯　莎拉麥克勞克蘭　勞勃狄尼諾　珍妮佛勞倫斯
愛	29	True	愛爾肯　愛爾茜　愛德琳　愛莉絲　愛爾伍德　愛立亞
奈	29	True	艾東奈　安東茵奈特　桂奈維爾　奈娃　奈西亞　戈布奈特
婭	28	False	格萊蒂婭　艾莉婭　特里西婭　西婭　瓦萊里婭　泰維婭
戈	28	True	馬戈　格萊戈　林戈　戈默　希戴爾戈　伊尼戈
耶	27	True	耶茨　耶爾曼內　耶爾德利　彭耶　奧迪耶　耶爾里
厄	27	True	厄休拉　厄尼　厄斯金　厄文　瑟吉厄斯　厄哈德
麥	27	True	夏麥尼　麥斯威爾　莎拉麥克勞克蘭　麥丹　麥克拉　麥迪遜
思	26	True	杰思羅　艾格尼思　萊思羅普　埃爾斯沃思　加雷思　思爾伯德
金	26	True	厄斯金　拉金　金尼　金泊利　帕德雷金　金斯頓
本	25	True	本尼　魯本　本杰曼　本內特　本尼迪克特　本特利
皮	25	True	皮爾森　坦皮斯特　艾皮凡尼歐　皮泰　凱皮拉　皮羅
約	25	True	約恩納　約隆達　約蘭德　約賽夫　蓋約　約蘭達
南	24	True	柏南克　南希　法奇南　費爾南達　赫南德茲　南達格
萬	24	True	萬斯　扎萬納斯　安托萬　拉萬達　西爾萬那　喬夫萬納
齊	24	True	帕齊　齊比亞斯　齊馬赫　齊波爾　齊格蒙德　齊布
因	24	True	奎因內特　因迪　普羅因西亞斯　因凡特　摩因　因菲尼泰
默	23	True	默文　奧默羅德　薩默　默里　戈默　默倫尼
琪	22	True	安琪拉　蘇琪　琪拉　安琪麗卡　安琪麗塔　琪琪
博	21	True	蘭博　烏姆博特　基拉博　德博拉　哈博斯特　博尼費斯
朗	21	True	朗多　朗吉爾　佛朗茜絲　弗朗西雅　布朗文　弗朗西亞
桑	21	True	桑夫德　桑迪　桑妮　桑席　伊桑　桑德爾
碧	20	True	艾碧蓋爾　碧姬　克柏碧　波碧　碧碧　麗碧
狄	20	True	狄安娜　狄西斯　富瑞狄瑞卡　克里斯·狄倫　歐狄立　維尼狄克特
凡	20	True	凡尼達　薩凡納　因凡特　艾皮凡尼歐　凡亞　凡爾納
蕾	19	True	克蕾蘭德　格蕾特　蕾希　蕾妮　瑟蕾莎．梅伊　蕾爾
什	19	False	伊什　伊克克什　哈米什　納什　艾什莉　澤雷什
古	19	True	奧斯古德　尼克古拉斯　奧古斯塔斯　奧古斯塔　尼古勞斯　奧古絲汀娜
坦	19	True	蓋坦　斯坦福　布里坦尼亞　斯坦利　斯坦　坦皮斯特
朱	19	True	朱爾斯　朱麗葉　朱迪　朱莉　拉朱安娜　朱利斯
謝	18	True	謝斯哈　阿列克謝　謝利丹　謝樂爾　謝爾比　謝麗爾
盧	18	True	盧瑟福　盧修斯　盧卡斯　盧茨　盧茨基　盧德米爾拉
漢	18	True	納特漢奈爾　漢斯　漢娜　漢雷　漢南　漢妲．阿亞里
奎	18	True	奎格利　奎恩　奎因內特　奎蘭　奎斯特　奎因
杜	17	True	杜威娜　布魯諾杜蒙　艾布杜　杜米　杜克　杜安
索	17	True	伊索爾德　索拉亞　索羅斯　索亞　伊索爾達　索赫思
肯	17	True	愛爾肯　麥肯那　肯德爾　肯恩特斯　肯達　肯尼思
考	17	True	考奈爾　考迪　普萊斯考特　基拖考　考納　考利
休	17	True	休姆　休吉特　厄休拉　休吉　休夏娜　扎克休斯
珍	17	True	珍妮佛勞倫斯　珍尼斯　珍尼亞　珍妮弗　珍寧　珍尼那
東	16	True	東部　日東　艾東奈　丹東　拉東　拉東尼亞
汀	16	False	克麗絲汀　克里斯汀貝爾　奧斯汀　奧斯汀娜　奧古絲汀娜　克勞汀
雅	16	True	德雅　艾美雅　弗朗西雅　奧爾瑟雅　西利雅得　雅各布
龍	16	True	普龍內爾　卡梅龍　布龍森　迪龍　龍達　斯哈龍達
切	16	True	斯塔切　切里　亞切　揚切　切斯特　卡切
昂	16	True	萊昂納　昂溫　利昂　西梅昂　萊昂尼達斯　伊昂
佛	16	True	珍妮佛勞倫斯　格羅佛　佛蓋爾　佛朗科斯　佛朗所絲　科利斯拖佛
翁	16	True	維翁納　德翁　塔維翁　萊翁　拉翁尼　特里翁
賈	16	True	賈奇　賈伊登　賈伊倫　伊萊賈　賈維斯　賈斯特斯
伍	16	True	舍伍德　亞爾伍德　奧德伍爾夫　伍德　厄普伍德　愛爾伍德
昆	16	True	昆特里爾　昆圖斯　昆納　昆廷　昆內爾　昆滕
·	16	False	比爾·蓋茨　法蘭克·紐曼　愛德華·普雷斯科特　伊隆·馬斯克　格梅·格布魯　馬西莫·奧薩納
列	15	True	布里列　格洛列　阿列克謝　列蒂西雅　伊列娜　列娃
茜	15	True	多爾茜　巴絲茜巴　愛爾茜　茜茜　希茜　蔡茜
得	15	False	彼得羅尼爾　德西得立爾　西利雅得　萊得福德　黛爾得　派得羅
賽	15	True	杰斯賽義　凡賽斯　格賽　薩瑪賽特　賽巴斯帝．貝特　賽拉娜
邁	14	True	杰邁瑪　邁克爾　阿邁德　卡邁　杰里邁亞　邁納
隆	14	False	斯哈隆達　基隆　優隆達　伊隆·馬斯克　普哈爾隆　阿隆索
柯	14	True	柯爾姆　婕柯伊　柯曼　柯恩麗　柯林　維柯奇
娃	14	False	查娃　吉娃　莉娃　歐娜娃　列娃　麗娃
庫	14	True	卡米庫　芭庫拉　庫拉　庫義托　庫藍　庫爾特
明	14	True	多明尼克　威廉明妮　奧斯明　亞斯明　明娜　萊明頓
康	14	True	維斯康特　康羅伊　康蕾　康所蘿　康諾爾　康威
根	14	True	梅根　芬尼根　根田　撒根特　霍根　里根
茨	14	False	耶茨　菲茨西蒙斯　盧茨　盧茨基　蓋茨　諾維茨基
李	14	True	李扣　李爾　李斯　李奧　李那　李安那
露	14	True	特露德　露絲　露琳　露西　露辛達　露比
派	14	True	派頓　派瑞　派得羅　派曲　派佩　派翠寇
道	13	True	魯道夫　道格　道格拉斯　道納托　道那爾　道那特
芙	13	True	伊芙琳　奧麗芙　阿芙拉　達芙妮　艾芙琳　芙萊達
穆	13	True	凱莉穆里根　穆伊雷達奇　奧內西穆斯　哈穆塔爾　普里穆拉　雷穆斯
夏	13	True	夏麥尼　夏特　塔夏　夏甲　休夏娜　夏洛特
辛	13	True	辛娜　泰馬辛　辛西亞　山姆沃辛頓　馬克辛　布萊辛薩巴
芬	13	True	格里芬　霍芬赫姆　絲黛芬妮　芬利　芬尼根　芬雷
芭	12	True	芭庫拉　塔芭塔　阿比芭　施芭　芭芭　芭比
兒	12	False	蜜雪兒　瑞克兒　安娜貝兒　香奈兒　艾兒白尼　丹尼兒
珀	12	True	奧珀爾　珀西　珀利　哈珀　庫珀　佩珀
華	12	True	霍華德　愛德華·普雷斯科特　愛德華多　愛德華　史都華德　華盛頓
